"","Parameter","Value"
"2383","Chlorophyll",2.67
"2384","Chlorophyll",2.26
"2385","Phycocyanin",0.1
"2386","Phycocyanin",21.31
"2387","Chlorophyll",5.12
"2388","Phycocyanin",3.11
"2389","Chlorophyll",1.63
"2390","Chlorophyll",3.71
"2391","Phycocyanin",9.47
"2392","Chlorophyll",2.18
"2393","Chlorophyll",1.89
"2394","Phycocyanin",0.1
"2395","Phycocyanin",0.1
"2396","Phycocyanin",21.31
"2397","Phycocyanin",0.1
"2398","Chlorophyll",1.6
"2399","Phycocyanin",1
"2400","Phycocyanin",2.58
"2401","Chlorophyll",2.38
"2402","Chlorophyll",1.98
"2403","Chlorophyll",5.15
"2404","Chlorophyll",2.26
"2405","Chlorophyll",4.02
"2406","Phycocyanin",6.82
"2407","Phycocyanin",2.58
"2408","Chlorophyll",5.15
"2409","Phycocyanin",6.82
"2410","Chlorophyll",1.54
"2411","Phycocyanin",25.94
"2412","Chlorophyll",2.81
"2413","Chlorophyll",5.9
"2414","Chlorophyll",6.36
"2415","Phycocyanin",2.58
"2416","Phycocyanin",7.35
"2417","Chlorophyll",1.28
"2418","Chlorophyll",1.92
"2419","Chlorophyll",4.28
"2420","Chlorophyll",1.51
"2421","Phycocyanin",6.82
"2422","Phycocyanin",0.1
"2423","Phycocyanin",3.64
"2424","Phycocyanin",0.1
"2425","Chlorophyll",2.47
"2426","Chlorophyll",3.33
"2427","Phycocyanin",3.11
"2428","Chlorophyll",1.8
"2429","Phycocyanin",5.23
"2430","Phycocyanin",0.1
"2431","Phycocyanin",24.91
"2432","Phycocyanin",0.1
"2433","Phycocyanin",0.1
"2434","Chlorophyll",1.83
"2435","Chlorophyll",2.12
"2436","Chlorophyll",1.66
"2437","Chlorophyll",2.58
"2438","Phycocyanin",0.1
"2439","Phycocyanin",9.47
"2440","Phycocyanin",1.52
"2441","Chlorophyll",1.69
"2442","Phycocyanin",3.11
"2443","Phycocyanin",1.52
"2444","Chlorophyll",1.54
"2445","Chlorophyll",1.75
"2446","Chlorophyll",2.32
"2447","Phycocyanin",38.28
"2448","Phycocyanin",28.51
"2449","Phycocyanin",3.11
"2450","Chlorophyll",4.02
"2451","Chlorophyll",5.06
"2452","Phycocyanin",0.1
"2453","Chlorophyll",2.96
"2454","Phycocyanin",23.37
"2455","Chlorophyll",2.15
"2456","Phycocyanin",0.1
"2457","Chlorophyll",1.14
"2458","Phycocyanin",0.1
"2459","Chlorophyll",2.44
"2460","Phycocyanin",1.52
"2461","Phycocyanin",7.88
"2462","Chlorophyll",1.66
"2463","Chlorophyll",1.46
"2464","Phycocyanin",3.11
"2465","Chlorophyll",0.29
"2467","Phycocyanin",1.5
"2472","Chlorophyll",0.59
"2473","Phycocyanin",0.1
"2474","Phycocyanin",2
"2476","Chlorophyll",0.25
"2478","Chlorophyll",0.65
"2480","Phycocyanin",0.1
"2483","Phycocyanin",0.1
"2486","Chlorophyll",0.26
"2487","Phycocyanin",0.55
"2488","Phycocyanin",0.1
"2490","Phycocyanin",0.1
"2491","Chlorophyll",0.26
"2492","Chlorophyll",0.62
"2496","Chlorophyll",0.47
"2497","Phycocyanin",6.82
"2498","Phycocyanin",5.23
"2499","Phycocyanin",2.05
"2500","Chlorophyll",1.46
"2501","Phycocyanin",3.64
"2502","Phycocyanin",2.58
"2503","Chlorophyll",2
"2504","Phycocyanin",0.1
"2505","Phycocyanin",19.25
"2506","Phycocyanin",5.23
"2507","Phycocyanin",4.17
"2508","Chlorophyll",2.26
"2509","Phycocyanin",0.55
"2510","Phycocyanin",39.31
"2511","Chlorophyll",2.18
"2512","Phycocyanin",3.11
"2513","Phycocyanin",5.23
"2514","Chlorophyll",1.46
"2515","Chlorophyll",2.9
"2516","Chlorophyll",2.93
"2517","Phycocyanin",3.11
"2518","Phycocyanin",5.76
"2519","Phycocyanin",31.08
"2520","Phycocyanin",2.58
"2521","Phycocyanin",24.4
"2522","Chlorophyll",2.61
"2523","Phycocyanin",18.22
"2524","Phycocyanin",1
"2525","Chlorophyll",2.03
"2526","Chlorophyll",4.02
"2527","Phycocyanin",6.82
"2528","Phycocyanin",6.29
"2529","Chlorophyll",3.27
"2530","Chlorophyll",4.14
"2531","Chlorophyll",1.92
"2532","Chlorophyll",1.98
"2533","Chlorophyll",2.99
"2534","Chlorophyll",2.03
"2535","Chlorophyll",4.14
"2536","Chlorophyll",3.94
"2537","Chlorophyll",1.57
"2538","Chlorophyll",2.44
"2539","Chlorophyll",1.86
"2540","Phycocyanin",0.1
"2541","Chlorophyll",1.51
"2542","Chlorophyll",1.8
"2543","Chlorophyll",2.06
"2544","Chlorophyll",1.72
"2545","Chlorophyll",2.29
"2546","Phycocyanin",18.22
"2547","Phycocyanin",5.76
"2548","Phycocyanin",0.1
"2549","Chlorophyll",1.77
"2550","Phycocyanin",0.55
"2551","Chlorophyll",2.73
"2552","Phycocyanin",0.1
"2553","Chlorophyll",4.11
"2554","Phycocyanin",7.88
"2555","Chlorophyll",1.8
"2556","Phycocyanin",5.23
"2557","Chlorophyll",1.86
"2558","Chlorophyll",1.92
"2559","Phycocyanin",8.41
"2560","Chlorophyll",6.82
"2561","Phycocyanin",17.2
"2562","Chlorophyll",4.49
"2563","Chlorophyll",4.63
"2564","Chlorophyll",2.35
"2565","Phycocyanin",0.55
"2566","Phycocyanin",4.7
"2567","Phycocyanin",170.45
"2568","Phycocyanin",14.11
"2569","Phycocyanin",17.71
"2570","Phycocyanin",7.88
"2571","Phycocyanin",1.52
"2572","Phycocyanin",0.1
"2573","Phycocyanin",5.23
"2574","Chlorophyll",2.78
"2575","Phycocyanin",4.17
"2576","Chlorophyll",1.92
"2577","Phycocyanin",0.1
"2578","Chlorophyll",4.77
"2579","Chlorophyll",1.49
"2580","Phycocyanin",6.82
"2581","Chlorophyll",2.96
"2582","Chlorophyll",2
"2583","Phycocyanin",0.1
"2584","Chlorophyll",1.95
"2585","Chlorophyll",2.29
"2586","Phycocyanin",0.55
"2587","Chlorophyll",1.25
"2588","Phycocyanin",2.05
"2589","Phycocyanin",9.47
"2590","Phycocyanin",1
"2591","Phycocyanin",38.28
"2592","Phycocyanin",5.23
"2593","Phycocyanin",4.7
"2594","Phycocyanin",2.05
"2595","Phycocyanin",4.7
"2596","Chlorophyll",4.86
"2597","Chlorophyll",1.86
"2598","Phycocyanin",10.51
"2599","Phycocyanin",1
"2600","Phycocyanin",8.41
"2601","Chlorophyll",1.89
"2602","Chlorophyll",2.38
"2603","Chlorophyll",2.99
"2604","Chlorophyll",3.04
"2605","Chlorophyll",1.86
"2606","Chlorophyll",2.06
"2607","Chlorophyll",1.66
"2608","Chlorophyll",3.79
"2609","Chlorophyll",3.65
"2610","Chlorophyll",2
"2611","Chlorophyll",2.06
"2612","Chlorophyll",3.42
"2613","Phycocyanin",5.23
"2614","Phycocyanin",22.34
"2615","Chlorophyll",2.15
"2616","Chlorophyll",4.51
"2617","Chlorophyll",2.18
"2618","Phycocyanin",10.51
"2619","Chlorophyll",2.84
"2620","Chlorophyll",1.4
"2621","Phycocyanin",3.11
"2622","Phycocyanin",2.05
"2623","Phycocyanin",5.23
"2624","Phycocyanin",0.55
"2625","Chlorophyll",4.98
"2626","Chlorophyll",2.78
"2627","Chlorophyll",2.26
"2628","Phycocyanin",0.1
"2629","Phycocyanin",12.57
"2630","Phycocyanin",1
"2631","Chlorophyll",1.8
"2632","Phycocyanin",13.6
"2633","Chlorophyll",0.35
"2634","Phycocyanin",3
"2635","Chlorophyll",0.31
"2636","Chlorophyll",0
"2637","Phycocyanin",6.5
"2638","Chlorophyll",0
"2639","Phycocyanin",4
"2640","Phycocyanin",0.1
"2641","Chlorophyll",0.28
"2642","Phycocyanin",5.5
"2643","Chlorophyll",0.32
"2644","Chlorophyll",0.28
"2645","Phycocyanin",0.1
"2646","Phycocyanin",3
"2647","Chlorophyll",0.32
"2648","Phycocyanin",6.5
"2649","Chlorophyll",0
"2650","Phycocyanin",7.5
"2651","Chlorophyll",0.23
"2652","Phycocyanin",2.5
"2653","Phycocyanin",1
"2654","Chlorophyll",0
"2655","Chlorophyll",0.43
"2656","Phycocyanin",3.5
"2657","Chlorophyll",0.07
"2658","Phycocyanin",3
"2659","Phycocyanin",3.5
"2660","Chlorophyll",0.47
"2661","Chlorophyll",0.01
"2662","Chlorophyll",0
"2663","Phycocyanin",2.5
"2664","Phycocyanin",5.5
"2665","Chlorophyll",0.34
"2666","Phycocyanin",0.55
"2667","Chlorophyll",0.19
"2668","Phycocyanin",2
"2669","Phycocyanin",4
"2670","Chlorophyll",0.25
"2671","Chlorophyll",0.31
"2672","Phycocyanin",0.1
"2673","Chlorophyll",12.08
"2674","Chlorophyll",12.44
"2675","Phycocyanin",522.93
"2676","Phycocyanin",40.33
"2677","Phycocyanin",59.55
"2678","Chlorophyll",2.31
"2679","Chlorophyll",2.41
"2680","Chlorophyll",7.72
"2681","Chlorophyll",14.33
"2682","Phycocyanin",1550.95
"2683","Phycocyanin",1639.37
"2684","Phycocyanin",1202.37
