"","Parameter","Value"
"914","Chlorophyll",1.69
"915","Phycocyanin",0.1
"916","Phycocyanin",0.1
"917","Chlorophyll",1.54
"918","Phycocyanin",0.1
"919","Phycocyanin",0.1
"920","Chlorophyll",1.74
"921","Chlorophyll",1.96
"922","Chlorophyll",2.13
"923","Phycocyanin",0.1
"924","Phycocyanin",0.1
"925","Chlorophyll",2.01
"926","Chlorophyll",2.03
"927","Chlorophyll",1.91
"928","Chlorophyll",2.11
"929","Phycocyanin",0.1
"930","Phycocyanin",0.1
"931","Phycocyanin",0.1
"932","Phycocyanin",0.1
"933","Phycocyanin",0.1
"934","Chlorophyll",2.08
"935","Chlorophyll",2.26
"936","Phycocyanin",0.1
"937","Chlorophyll",2.23
"938","Chlorophyll",2.35
"939","Phycocyanin",0.1
"940","Chlorophyll",2.55
"941","Phycocyanin",0.1
"942","Chlorophyll",2.33
"943","Phycocyanin",0.55
"944","Chlorophyll",2.43
"945","Chlorophyll",2.45
"946","Phycocyanin",0.1
"947","Phycocyanin",0.1
"948","Phycocyanin",0.1
"949","Chlorophyll",2.18
"950","Phycocyanin",0.1
"951","Chlorophyll",0.65
"953","Chlorophyll",1.04
"954","Phycocyanin",0.1
"957","Phycocyanin",0.1
"959","Chlorophyll",0.4
"960","Chlorophyll",0.87
"961","Phycocyanin",9.57
"962","Phycocyanin",2
"964","Chlorophyll",1.32
"965","Phycocyanin",0.1
"967","Phycocyanin",2
"969","Chlorophyll",0.91
"971","Chlorophyll",1.31
"972","Chlorophyll",1.01
"973","Phycocyanin",2
"974","Phycocyanin",2
"979","Chlorophyll",0.95
"980","Phycocyanin",0.1
"985","Phycocyanin",2.5
"986","Chlorophyll",1.08
"987","Chlorophyll",0.91
"988","Phycocyanin",3.5
"989","Phycocyanin",0.1
"994","Chlorophyll",1.13
"996","Phycocyanin",1
"999","Chlorophyll",0.26
"1000","Phycocyanin",5
"1001","Chlorophyll",0.46
"1004","Chlorophyll",0.35
"1005","Chlorophyll",0.23
"1006","Phycocyanin",0.1
"1008","Phycocyanin",0.1
"1011","Phycocyanin",2
"1015","Chlorophyll",0.29
"1017","Phycocyanin",1
"1018","Chlorophyll",0.43
"1019","Phycocyanin",0.1
"1020","Phycocyanin",34.5
"1021","Chlorophyll",1.13
"1022","Chlorophyll",2.28
"1023","Chlorophyll",0.28
"1024","Chlorophyll",0.28
"1026","Chlorophyll",10.38
"1027","Phycocyanin",6.5
"1028","Phycocyanin",0.1
"1031","Phycocyanin",1240.93
"1032","Chlorophyll",0.26
"1033","Phycocyanin",347.31
"1035","Phycocyanin",0.1
"1036","Phycocyanin",93
"1037","Chlorophyll",0.46
"1040","Phycocyanin",0.1
"1041","Chlorophyll",0.5
"1046","Phycocyanin",13
"1048","Chlorophyll",0.31
"1049","Chlorophyll",8.62
"1051","Chlorophyll",3.39
"1052","Chlorophyll",3.42
"1053","Chlorophyll",3.34
"1054","Phycocyanin",0.1
"1055","Phycocyanin",0.1
"1056","Phycocyanin",0.1
"1057","Phycocyanin",0.1
"1058","Phycocyanin",0.1
"1059","Chlorophyll",3.32
"1060","Phycocyanin",0.1
"1061","Chlorophyll",3.49
"1062","Chlorophyll",3.34
"1063","Chlorophyll",3.57
"1064","Phycocyanin",0.1
"1065","Chlorophyll",3.44
"1066","Chlorophyll",2.78
"1067","Phycocyanin",1
"1068","Phycocyanin",1
"1069","Phycocyanin",0.1
"1070","Chlorophyll",3.54
"1071","Chlorophyll",3.81
"1072","Chlorophyll",3.94
"1073","Phycocyanin",1.1
"1074","Phycocyanin",0.1
"1075","Chlorophyll",3.22
"1076","Phycocyanin",0.1
